state,structure,probability
up,7K4N,0.5687500000000001
up,7K4N,0.5725
up,7K4N,0.5775
up,7KNI,0.6983333333333334
up,7KNI,0.6983333333333333
up,7KNI,0.6812500000000002
up,7KJ4,0.5845833333333333
up,7KJ4,0.61375
up,7KJ4,0.6187499999999999
up,7KSG,0.6408333333333333
up,7KSG,0.6345833333333334
up,7KSG,0.6295833333333335
up,7A98,0.6620833333333335
up,7A98,0.6583333333333332
up,7A98,0.6429166666666667
closed,6VXX,0.7704166666666667
closed,6VXX,0.7654166666666667
closed,6VXX,0.7716666666666668
closed,6ZP0,0.7887500000000002
closed,6ZP0,0.7866666666666665
closed,6ZP0,0.7941666666666665
closed,6X29,0.7945833333333332
closed,6X29,0.7829166666666665
closed,6X29,0.7870833333333334
closed,6X6P,0.7745833333333335
closed,6X6P,0.7733333333333333
closed,6X6P,0.7779166666666667
closed,6X2C,0.7883333333333332
closed,6X2C,0.7583333333333332
closed,6X2C,0.7858333333333333
locked,6ZB5,0.7800000000000001
locked,6ZB5,0.8029166666666666
locked,6ZB5,0.78625
locked,6ZGE,0.7904166666666667
locked,6ZGE,0.7658333333333333
locked,6ZGE,0.7645833333333333
locked,6XR8,0.74375
locked,6XR8,0.7300000000000001
locked,6XR8,0.7125
locked,6ZB4,0.7675000000000001
locked,6ZB4,0.7795833333333334
locked,6ZB4,0.7649999999999998
locked,7DDD,0.7199999999999999
locked,7DDD,0.7312499999999998
locked,7DDD,0.7091666666666666
