state,structure,probability
up,7K4N,0.5427272727272727
up,7K4N,0.5436363636363636
up,7K4N,0.5387878787878788
up,7KNI,0.5512820512820513
up,7KNI,0.5669230769230769
up,7KNI,0.5441025641025642
up,7KJ4,0.5666666666666668
up,7KJ4,0.6642424242424244
up,7KJ4,0.6709090909090909
up,7KSG,0.5890909090909091
up,7KSG,0.5872727272727273
up,7KSG,0.6260606060606062
up,7A98,0.5599999999999999
up,7A98,0.5646666666666668
up,7A98,0.5613333333333334
closed,6VXX,0.6175757575757574
closed,6VXX,0.609090909090909
closed,6VXX,0.623939393939394
closed,6ZP0,0.555151515151515
closed,6ZP0,0.6215151515151517
closed,6ZP0,0.6254545454545455
closed,6X29,0.5984848484848487
closed,6X29,0.5936363636363634
closed,6X29,0.6406060606060605
closed,6X6P,0.5185365853658536
closed,6X6P,0.5180487804878049
closed,6X6P,0.5046341463414635
closed,6X2C,0.5857575757575756
closed,6X2C,0.6775757575757575
closed,6X2C,0.6815151515151517
locked,6ZB5,0.5838709677419355
locked,6ZB5,0.6054838709677419
locked,6ZB5,0.6090322580645161
locked,6ZGE,0.5670000000000001
locked,6ZGE,0.5650000000000001
locked,6ZGE,0.6536666666666666
locked,6XR8,0.5645161290322582
locked,6XR8,0.5654838709677418
locked,6XR8,0.6135483870967742
locked,6ZB4,0.6106451612903224
locked,6ZB4,0.6154838709677418
locked,6ZB4,0.6151612903225804
locked,7DDD,0.5642424242424243
locked,7DDD,0.5724242424242425
locked,7DDD,0.6160606060606061
